MOUSE_GENE_SYM	HUMAN_GENE_SYM
Fcrl1	FCRL1
Alpk2	ALPK2
Siglecf	SIGLEC8
Rapgef1	RAPGEF1
Parg	PARG
Lipt1	LIPT1
B3gat2	B3GAT2
Hyal5	SPAM1
En1	EN1
Adat3	ADAT3
Tbc1d12	TBC1D12
Bri3bp	BRI3BP
Bhlhe23	BHLHE23
1700020A23Rik	C20orf141
Gpr62	GPR62
Pkn3	PKN3
Tada2b	TADA2B
Nobox	NOBOX
Fam71b	FAM71B
Cep164	CEP164
Dupd1	DUPD1
Zfp82	ZFP82
Prss55	PRSS55
Sun3	SUN3
Cfap57	CFAP57
Lvrn	LVRN
Dtx3l	DTX3L
Pkd1l1	PKD1L1
H1f8	H1-8
Clec12a	CLEC12A
Timd4	TIMD4
Cgas	CGAS
Noxred1	NOXRED1
Myo3b	MYO3B
Il31ra	IL31RA
Cd300lf	CD300LF
Flacc1	FLACC1
4930558K02Rik	C1orf105
Birc7	BIRC7
Poc1a	POC1A
Zscan20	ZSCAN20
Anks1b	ANKS1B
4933402J07Rik	C16orf78
Wdr64	WDR64
1700016H13Rik	C4orf36
Tmem71	TMEM71
Cybc1	CYBC1
Proser2	PROSER2
Pebp4	PEBP4
Ccdc122	CCDC122
Ddias	DDIAS
Lrrc25	LRRC25
Zfp386	ZNF519
Tmem217	TMEM217
9430015G10Rik	C1orf159
Muc15	MUC15
Gltpd2	GLTPD2
Spidr	SPIDR
Zfp790	ZNF790
Olfr164	OR2M3
Olfr1034	OR5M9
Olfr734	OR4M1
Olfr198	OR5AC2
Fam185a	FAM185A
Fam219a	FAM219A
Hus1b	HUS1B
Tex26	TEX26
1700030J22Rik	C16orf46
Eid2b	EID2B
Gm12695	C1orf87
Sgpp2	SGPP2
Zfp786	ZNF786
Pwwp3b	PWWP3B
Amer1	AMER1
Frmpd2	FRMPD2
Proca1	PROCA1
Zfp84	ZNF565
Zfp74	ZNF569
Mroh8	MROH8
Shld1	SHLD1
Ckap2l	CKAP2L
Ccdc116	CCDC116
Tex44	TEX44
Trim60	TRIM60
Fancb	FANCB
Dcp1b	DCP1B
Dand5	DAND5
Gapt	GAPT
Amer3	AMER3
Tbc1d32	TBC1D32
Aknad1	AKNAD1
Cfap299	CFAP299
Heatr9	HEATR9
Catsperd	CATSPERD
4933430I17Rik	C9orf43
Spata33	SPATA33
Prss45	PRSS45P
Ttll10	TTLL10
6820408C15Rik	C20orf96
Ggt6	GGT6
9130008F23Rik	C6orf141
Tmem139	TMEM139
Prr22	PRR22
Tut7	TUT7
Aldh1l2	ALDH1L2
Fam102a	FAM102A
Lrrc66	LRRC66
Adgrf4	ADGRF4
Ifnlr1	IFNLR1
Ubr3	UBR3
Ppp1r36	PPP1R36
Smim7	SMIM7
4930539E08Rik	BNIP5
Prrt3	PRRT3
4932438A13Rik	KIAA1109
Clec9a	CLEC9A
Ints6l	INTS6L
Antxrl	ANTXRL
Hydin	HYDIN
4930503L19Rik	C18orf54
Tango6	TANGO6
Erich5	ERICH5
Gm572	C1orf127
Cdrt4	CDRT4
Rspo1	RSPO1
Ccdc141	CCDC141
Ppil6	PPIL6
Tprn	TPRN
Oosp2	OOSP2
Tmem86b	TMEM86B
Catspere1	CATSPERE
Mcemp1	MCEMP1
Ccdc107	CCDC107
Tcerg1l	TCERG1L
Stpg2	STPG2
Svopl	SVOPL
Plekha7	PLEKHA7
Spem2	SPEM2
2700081O15Rik	C11orf95
Ccdc38	CCDC38
Fam221b	FAM221B
BC049715	C12orf60
Prr18	PRR18
Tas2r139	TAS2R39
Xkr5	XKR5
A530016L24Rik	C14orf180
Fam166b	FAM166B
Tas2r135	TAS2R60
Btla	BTLA
Ccdc73	CCDC73
Sntn	SNTN
Fam216b	FAM216B
4833427G06Rik	C11orf88
Setd1a	SETD1A
Pla2g4d	PLA2G4D
Lcn10	LCN10
Nme9	NME9
Ccdc36	CCDC36
Treml1	TREML1
Tmem202	TMEM202
Bpifa3	BPIFA3
Odaph	ODAPH
Lcn12	LCN12
Ccdc190	CCDC190
D630039A03Rik	C9orf152
AI593442	C11orf87
Tas2r131	TAS2R42
Zfp804b	ZNF804B
Zfp26	ZNF778
Tmem61	TMEM61
Wdr72	WDR72
Axdnd1	AXDND1
Syne1	SYNE1
Nav2	NAV2
4930451I11Rik	C16orf92
Gprin3	GPRIN3
Zfp605	ZNF605
Qrfp	QRFP
Itprid1	ITPRID1
Kif24	KIF24
Ccdc57	CCDC57
Uts2b	UTS2B
Rufy4	RUFY4
Klrg2	KLRG2
Tex45	TEX45
1700016K19Rik	C17orf97
Lkaaear1	LKAAEAR1
Soga1	SOGA1
Klhl33	KLHL33
Zswim9	ZSWIM9
Ildr2	ILDR2
Wee2	WEE2
Cerkl	CERKL
1700022I11Rik	C9orf131
Zfp784	ZNF784
Dock8	DOCK8
Apobec4	APOBEC4
Cep85l	CEP85L
Yy2	YY2
Spag17	SPAG17
Scimp	SCIMP
Tmem207	TMEM207
Kbtbd12	KBTBD12
Tomm20l	TOMM20L
Krtdap	KRTDAP
Gm1043	C4orf50
Bend4	BEND4
Amtn	AMTN
Siglec15	SIGLEC15
Ttc9	TTC9
AW554918	KIAA1328
Fam169a	FAM169A
Zfhx2	ZFHX2
Usp22	USP22
Srgap2	SRGAP2
Hsf5	HSF5
Spata45	SPATA45
Gm614	CXorf65
Igsf23	IGSF23
Ttll8	TTLL8
Gramd2	GRAMD2A
Smim24	SMIM24
Lypd8	LYPD8
Slc6a19	SLC6A19
Lrrc63	LRRC63
BC003965	C16orf91
2010003K11Rik	C11orf86
Stpg3	STPG3
1700003E16Rik	C2orf81
4933402N03Rik	C10orf120
Tmem225	TMEM225
Tmem89	TMEM89
Zdbf2	ZDBF2
Samd15	SAMD15
Sycp2l	SYCP2L
Foxi3	FOXI3
Fam71f2	FAM71F2
Fyb2	FYB2
Tmem211	TMEM211
Iqcm	IQCM
Cfap157	CFAP157
Tmem235	TMEM235
Ints1	INTS1
Serpine3	SERPINE3
Parp10	PARP10
Cfap73	CFAP73
Rab44	RAB44
Atxn7l1	ATXN7L1
Fer1l6	FER1L6
Gon7	GON7
Myo18b	MYO18B
Vgll3	VGLL3
Arl16	ARL16
1700034J05Rik	C12orf71
Palm3	PALM3
Noto	NOTO
Arhgap40	ARHGAP40
Rtl4	RTL4
4930562C15Rik	C16orf96
Siah3	SIAH3
Tmem232	TMEM232
Tmem247	TMEM247
Stmnd1	STMND1
Tmem233	TMEM233
Prtg	PRTG
Ldlrad1	LDLRAD1
Lekr1	LEKR1
Ankub1	ANKUB1
Kctd21	KCTD21
Zfp652	ZNF652
2810459M11Rik	C2orf72
Ldlrad2	LDLRAD2
Meikin	MEIKIN
Fam228a	FAM228A
3425401B19Rik	C10orf71
Kprp	KPRP
Dbx2	DBX2
Micos10	MICOS10
Arhgef33	ARHGEF33
Abcd1	ABCD1
Ank1	ANK1
Cdk4	CDK4
Cdkn2a	CDKN2A
Cnga1	CNGA1
Col3a1	COL3A1
Col5a1	COL5A1
Slc26a3	SLC26A3
Fgfr3	FGFR3
Gck	GCK
Gucy2e	GUCY2D
Itgb3	ITGB3
Krt18	KRT18
Mpo	MPO
Plg	PLG
Pitx2	PITX2
Rpgr	RPGR
Slc5a1	SLC5A1
Aldh3a2	ALDH3A2
Krt5	KRT5
Myl2	MYL2
Cftr	CFTR
Col10a1	COL10A1
Fbp1	FBP1
Galns	GALNS
Ldlr	LDLR
Slc11a2	SLC11A2
Nos2	NOS2
Adra1b	ADRA1B
Alas1	ALAS1
Aldh2	ALDH2
Aldh9a1	ALDH9A1
Cacna1c	CACNA1C
Chrna5	CHRNA5
Cyp51	CYP51A1
Gabrd	GABRD
Htr2b	HTR2B
Itgax	ITGAX
Oxt	OXT
P4hb	P4HB
Abcb1a	ABCB1
Ppp3ca	PPP3CA
Calhm1	CALHM1
Dsg3	DSG3
Cat	CAT
Fmo1	FMO1
Rln1	RLN1
Ifng	IFNG
Stxbp2	STXBP2
Gnb1	GNB1
Rab5c	RAB5C
Gnas	GNAS
Sec11a	SEC11A
Sec61a1	SEC61A1
Gnai2	GNAI2
Ccl1	CCL1
Slc6a3	SLC6A3
Tacr2	TACR2
Acpp	ACPP
Actn1	ACTN1
Slc25a5	SLC25A5
Anxa6	ANXA6
Abcc6	ABCC6
Camk2d	CAMK2D
Ccna2	CCNA2
Cdk8	CDK8
Cdk9	CDK9
Rcc1	RCC1
Chil1	CHI3L1
Csnk2b	CSNK2B
Ctnnd2	CTNND2
Dock1	DOCK1
Dyrk1a	DYRK1A
En2	EN2
Ern1	ERN1
Esrrg	ESRRG
Gpc4	GPC4
Prmt2	PRMT2
Dnaja1	DNAJA1
Abca2	ABCA2
Arf4	ARF4
Atp2b1	ATP2B1
Bpgm	BPGM
Cdh8	CDH8
Cma1	CMA1
Col2a1	COL2A1
Col19a1	COL19A1
Cpa1	CPA1
Cpb2	CPB2
Cr2	CR2
Crhr2	CRHR2
Cst10	CST5
Ctsd	CTSD
Cyc1	CYC1
Dctd	DCTD
Speg	SPEG
Drp2	DRP2
Dusp6	DUSP6
Fli1	FLI1
Gnb3	GNB3
Gsk3b	GSK3B
Gtf3a	GTF3A
Cfhr1	CFHR1
Hk3	HK3
Hpca	HPCA
Tnc	TNC
Kcnj13	KCNJ13
Kdr	KDR
Kif3c	KIF3C
Kpna1	KPNA1
Krt8	KRT8
Krt81	KRT81
Ldhb	LDHB
Lmx1b	LMX1B
Lyn	LYN
Mark3	MARK3
Mif	MIF
Msi1	MSI1
Nras	NRAS
Ogdh	OGDH
Opcml	OPCML
Pak3	PAK3
Pax7	PAX7
Cdk17	CDK17
Pfkl	PFKL
Pgc	PGC
Plau	PLAU
Plcg2	PLCG2
Pld2	PLD2
Pnmt	PNMT
Pou2f2	POU2F2
Prkca	PRKCA
Prkd1	PRKD1
Prkcz	PRKCZ
Mapk3	MAPK3
Mapk6	MAPK6
Mapk11	MAPK11
Mapk9	MAPK9
Map2k6	MAP2K6
Prpsap1	PRPSAP1
Psmb5	PSMB5
Psmd4	PSMD4
Ptprk	PTPRK
Rab6a	RAB6A
Rac2	RAC2
Rangap1	RANGAP1
Rap2b	RAP2B
Rbbp7	RBBP7
Rps6ka1	RPS6KA1
Mapk12	MAPK12
Scn7a	SCN7A
Set	SET
Srsf3	SRSF3
Sh3gl1	SH3GL1
Smarca1	SMARCA1
Stat5b	STAT5B
Cdkl5	CDKL5
Syt5	SYT5
Taf4	TAF4
Thop1	THOP1
Tnnc2	TNNC2
Tnnc1	TNNC1
Tpt1	TPT1
Nr2c1	NR2C1
Txnrd1	TXNRD1
Ube2v2	UBE2V2
Ezr	EZR
Zic3	ZIC3
Zfp174	ZNF174
Pdhx	PDHX
Usp5	USP5
Slc7a5	SLC7A5
Dyrk3	DYRK3
Smarca5	SMARCA5
Cdc42bpa	CDC42BPA
Cdk10	CDK10
Degs1	DEGS1
Pcdhgb5	PCDHGB5
Slc4a4	SLC4A4
Stx19	STX19
Myh13	MYH13
Fbp2	FBP2
Suclg1	SUCLG1
Cdkl2	CDKL2
Cetn2	CETN2
Emx1	EMX1
Fasn	FASN
Ggt5	GGT5
Idh3g	IDH3G
Slc9a3	SLC9A3
Cdkl1	CDKL1
P4ha2	P4HA2
Aurkb	AURKB
Zfp213	ZNF213
Actl6a	ACTL6A
Bphl	BPHL
Cdc34	CDC34
Csk	CSK
Endog	ENDOG
Epha5	EPHA5
Galnt3	GALNT3
Hoxb7	HOXB7
Kif5b	KIF5B
Ror2	ROR2
Ppp2r2b	PPP2R2B
Mapkapk3	MAPKAPK3
Ap3b2	AP3B2
Kdm5d	KDM5D
Ddx3y	DDX3Y
Papss2	PAPSS2
Mtmr6	MTMR6
Lats1	LATS1
Kcnab3	KCNAB3
Lhx2	LHX2
Kif3b	KIF3B
Ciao1	CIAO1
Abcg2	ABCG2
Klk4	KLK4
Actn4	ACTN4
Cdh18	CDH18
Cdkn2b	CDKN2B
Kif5a	KIF5A
Myo1e	MYO1E
Prcp	PRCP
Prkx	PRKX
Ptbp3	PTBP3
Abcd2	ABCD2
Car7	CA7
Col8a2	COL8A2
Gfer	GFER
Glud1	GLUD1
Hadh	HADH
Hras	HRAS
Pdk3	PDK3
Rock1	ROCK1
Yes1	YES1
Gabbr2	GABBR2
Akt3	AKT3
Ap1m2	AP1M2
Limk2	LIMK2
Lmnb1	LMNB1
S100a11-ps	S100A11
Taf11	TAF11
Zfp354a	ZNF354A
Gpc6	GPC6
Hipk3	HIPK3
Lpar6	LPAR6
Lrrc17	LRRC17
Dcaf7	DCAF7
Dennd4a	DENND4A
Cd5l	CD5L
Smad3	SMAD3
Mdh2	MDH2
Mmp16	MMP16
Mthfd1	MTHFD1
Myh10	MYH10
Skp2	SKP2
Akr1d1	AKR1D1
Cdc42bpb	CDC42BPB
Hdac4	HDAC4
Ikzf1	IKZF1
Tubb4a	TUBB4A
Ndrg1	NDRG1
Man2a2	MAN2A2
Bmp1	BMP1
Capza2	CAPZA2
Dnajb1	DNAJB1
Pitpna	PITPNA
Ppef2	PPEF2
Ppef1	PPEF1
Ppp2r5a	PPP2R5A
Ppp2r5e	PPP2R5E
Prkcd	PRKCD
Prkg1	PRKG1
Stk4	STK4
Vrk2	VRK2
Sec24b	SEC24B
Slc9a6	SLC9A6
Agpat1	AGPAT1
Gnai3	GNAI3
Gna13	GNA13
Rrh	RRH
Cct6b	CCT6B
Tubgcp2	TUBGCP2
Man1a2	MAN1A2
Spin1	SPIN1
Tcea1	TCEA1
Ugt2a3	UGT2A3
Cops5	COPS5
Pdia2	PDIA2
Adap1	ADAP1
Dnmt3b	DNMT3B
Hoxa7	HOXA7
Pycr1	PYCR1
Rit1	RIT1
Rnf5	RNF5
Scn3a	SCN3A
Btn2a2	BTN2A2
Katna1	KATNA1
Wdhd1	WDHD1
Abca8b	ABCA8
Ddx19b	DDX19B
Stk38	STK38
Acss1	ACSS1
Rhot2	RHOT2
Cs	CS
Sord	SORD
Gpd1l	GPD1L
Prelid3b	PRELID3B
Ush1g	USH1G
Adipor2	ADIPOR2
Mapre1	MAPRE1
Pycrl	PYCR3
Usp12	USP12
Atp2b2	ATP2B2
Sirt7	SIRT7
Slc25a28	SLC25A28
Pgam2	PGAM2
Kif5c	KIF5C
Dhx33	DHX33
Chmp1a	CHMP1A
Dhx57	DHX57
Myo1f	MYO1F
Recql	RECQL
Acsl4	ACSL4
Fa2h	FA2H
Copg2	COPG2
Yif1a	YIF1A
Atg4c	ATG4C
Stk38l	STK38L
Slc36a4	SLC36A4
Letm1	LETM1
Zdhhc17	ZDHHC17
Gtf2a1	GTF2A1
Wwox	WWOX
Letm2	LETM2
Ncbp2	NCBP2
App	APP
Slc7a3	SLC7A3
Cacna1a	CACNA1A
Cd59b	CD59
Col11a1	COL11A1
Egr1	EGR1
Epha6	EPHA6
Ly6e	LY6E
Mapkapk2	MAPKAPK2
Meig1	MEIG1
Myo6	MYO6
Pax5	PAX5
Prkcb	PRKCB
Plxna1	PLXNA1
Plxna2	PLXNA2
Ppm1a	PPM1A
Ppp3cb	PPP3CB
Map2k3	MAP2K3
Rfng	RFNG
Sfrp2	SFRP2
Mapk10	MAPK10
Slc22a12	SLC22A12
Zfp143	ZNF143
Tssk1	TSSK1B
Slc32a1	SLC32A1
Zscan2	ZSCAN2
Aoc2	AOC2
Atp10a	ATP10A
Cry2	CRY2
Des	DES
Dhfr	DHFR
Ebf2	EBF2
Ebf3	EBF3
Hipk1	HIPK1
Igfbp5	IGFBP5
Irx2	IRX2
Kcnab1	KCNAB1
Kcnab2	KCNAB2
Setd2	SETD2
Ldha	LDHA
Lhx4	LHX4
Psmb8	PSMB8
Myo15	MYO15A
Six2	SIX2
Abcc9	ABCC9
Atp6v0a2	ATP6V0A2
Ywhaz	YWHAZ
Zscan21	ZSCAN21
Coro1c	CORO1C
Insrr	INSRR
Aadat	AADAT
Tenm1	TENM1
Tll2	TLL2
Clcn7	CLCN7
Map2k7	MAP2K7
B3gat3	B3GAT3
Msrb2	MSRB2
Sirt1	SIRT1
Snw1	SNW1
Sephs1	SEPHS1
Rapgef5	RAPGEF5
Kdm2a	KDM2A
Mapre3	MAPRE3
Olfr145	OR8B8
Pef1	PEF1
Slc17a5	SLC17A5
Usp21	USP21
Camk2a	CAMK2A
Gys2	GYS2
Ctnna3	CTNNA3
Gpsm2	GPSM2
Npc1l1	NPC1L1
H2-Ke6	HSD17B8
Ptpn6	PTPN6
Hprt	HPRT1
Loxl3	LOXL3
Olfr64	OR51B2
Rora	RORA
Uncx	UNCX
Ip6k1	IP6K1
Slco1a5	SLCO1A2
Zfp354c	ZNF354C
Ndufs2	NDUFS2
Flvcr1	FLVCR1
Mrpl22	MRPL22
Slc7a9	SLC7A9
Gnl3	GNL3
Atp2c1	ATP2C1
Dkkl1	DKKL1
Ube2s	UBE2S
Tor1b	TOR1B
Lats2	LATS2
Ece2	ECE2
Dock4	DOCK4
Ctif	CTIF
Cul7	CUL7
Elmo1	ELMO1
Srgap3	SRGAP3
Nav3	NAV3
Agap1	AGAP1
Nlgn1	NLGN1
Rbm34	RBM34
Tln2	TLN2
Tbc1d2b	TBC1D2B
Rap1gap2	RAP1GAP2
Cul9	CUL9
Smg1	SMG1
Rad54l2	RAD54L2
Syne2	SYNE2
Ccdc28a	CCDC28A
Mthfd1l	MTHFD1L
Sec31b	SEC31B
Tkfc	TKFC
Spats2l	SPATS2L
Chd5	CHD5
Klk13	KLK13
Herc4	HERC4
Zfp777	ZNF777
Rrm2b	RRM2B
Dcaf8	DCAF8
Klhl5	KLHL5
Luc7l2	LUC7L2
Tmbim4	TMBIM4
Desi2	DESI2
Nip7	NIP7
Copg1	COPG1
Evl	EVL
Cpa4	CPA4
Erap1	ERAP1
Kcnk9	KCNK9
Mapk8	MAPK8
Kif21a	KIF21A
Mink1	MINK1
Pde11a	PDE11A
Kcnj1	KCNJ1
Tuba8	TUBA8
Slc7a10	SLC7A10
Rab39	RAB39A
Fblim1	FBLIM1
Diras2	DIRAS2
Tent5c	TENT5C
Pqlc2	SLC66A1
Lime1	LIME1
Abitram	ABITRAM
Nlrp2	NLRP2
Epn3	EPN3
Enox1	ENOX1
Magohb	MAGOHB
Asf1b	ASF1B
Dhx32	DHX32
Sept11	SEPTIN11
Ogdhl	OGDHL
Rhot1	RHOT1
Slc29a3	SLC29A3
Tmem106b	TMEM106B
Wdr33	WDR33
Chst11	CHST11
Lrp1b	LRP1B
Trpv6	TRPV6
Ddx43	DDX43
Sult1c1	SULT1C3
Dnah12	DNAH12
Pcdhga1	PCDHGA1
Pcdhga9	PCDHGA9
Ubash3a	UBASH3A
Sntg1	SNTG1
Mov10l1	MOV10L1
Krt20	KRT20
Wdr44	WDR44
Shld2	SHLD2
Eml4	EML4
Arl15	ARL15
Tbc1d1	TBC1D1
Cdh17	CDH17
Cbln3	CBLN3
Inpp5e	INPP5E
Kif21b	KIF21B
Selenok	SELENOK
Uggt2	UGGT2
Wdr93	WDR93
Fam20c	FAM20C
Scamp5	SCAMP5
Pdss2	PDSS2
Chrna10	CHRNA10
Zfp286	ZNF286A
Rhoj	RHOJ
Clk4	CLK4
Aars2	AARS2
Srgap1	SRGAP1
Sorcs2	SORCS2
Klhl1	KLHL1
Dtx2	DTX2
Ank3	ANK3
Slc15a2	SLC15A2
Cacna1h	CACNA1H
Gatad1	GATAD1
Itgad	ITGAD
Spata5	SPATA5
Ptprt	PTPRT
Pcbp4	PCBP4
Chst5	CHST6
Ip6k2	IP6K2
Egln1	EGLN1
Abhd4	ABHD4
Atp13a2	ATP13A2
Prdm15	PRDM15
Golph3	GOLPH3
Smoc1	SMOC1
Rtp4	RTP4
Atl2	ATL2
Cdh24	CDH24
Pim3	PIM3
Usp46	USP46
Papolg	PAPOLG
Nsd3	NSD3
Slc9a3r2	SLC9A3R2
Yipf5	YIPF5
Tnfsf13	TNFSF13
Pank1	PANK1
Npffr2	NPFFR2
Camkv	CAMKV
Tmprss3	TMPRSS3
Ddx50	DDX50
Wdr25	WDR25
Slc52a2	SLC52A2
Vcpkmt	VCPKMT
Galnt14	GALNT14
Tnfaip8l2	TNFAIP8L2
Pank3	PANK3
Dhx40	DHX40
Nars2	NARS2
Vash2	VASH2
Ttc21b	TTC21B
Nek11	NEK11
Zfp157	ZNF613
Cped1	CPED1
Dnajb14	DNAJB14
Dock5	DOCK5
Mogat2	MOGAT2
Rubcnl	RUBCNL
Opa3	OPA3
Sik3	SIK3
Ninl	NINL
Pbx4	PBX4
Pcbd1	PCBD1
Mrps22	MRPS22
Timm50	TIMM50
Ormdl3	ORMDL3
Rbm4b	RBM4B
Nkapl	NKAPL
Duoxa2	DUOXA2
Fam220a	FAM220A
Mrps24	MRPS24
Slc25a30	SLC25A30
Narf	NARF
Kirrel3	KIRREL3
1600012H06Rik	C6orf120
Atp5g2	ATP5MC2
Otub2	OTUB2
Gsto2	GSTO2
Haghl	HAGHL
Dennd6b	DENND6B
Tlcd2	TLCD2
Slc25a33	SLC25A33
Tssk4	TSSK4
Tbc1d9	TBC1D9
Slc39a5	SLC39A5
Rrp1b	RRP1B
Calr3	CALR3
Nabp1	NABP1
Herc3	HERC3
Dpp8	DPP8
Chmp4b	CHMP4B
Zdhhc20	ZDHHC20
Mdh1b	MDH1B
Col25a1	COL25A1
Tmco4	TMCO4
Prr7	PRR7
Itih5	ITIH5
Ropn1	ROPN1
Lman2l	LMAN2L
Acsbg2	ACSBG2
Slco5a1	SLCO5A1
Itga1	ITGA1
Pgk2	PGK2
Slc19a1	SLC19A1
Apool	APOOL
Gigyf1	GIGYF1
Mark4	MARK4
Ano3	ANO3
Gucd1	GUCD1
Slc25a18	SLC25A18
Sv2c	SV2C
Tatdn1	TATDN1
Kalrn	KALRN
Ghsr	GHSR
Pcdhga8	PCDHGA8
Capns2	CAPNS2
Brsk1	BRSK1
Nt5c1a	NT5C1A
Spink7	SPINK7
Fam126a	FAM126A
Cndp1	CNDP1
Cbr4	CBR4
CK137956	C1orf94
Gal3st3	GAL3ST3
Acp4	ACP4
Sept8	SEPTIN8
Lcn15	LCN15
Abcc12	ABCC12
Mboat1	MBOAT1
Vars2	VARS2
Abcc10	ABCC10
Ppm1n	PPM1N
Slc2a12	SLC2A12
Wdr5	WDR5
Txnrd3	TXNRD3
Yif1b	YIF1B
Mob1b	MOB1B
Itprip	ITPRIP
Zfp764	ZNF764
Vangl2	VANGL2
Tssk3	TSSK3
Slc25a25	SLC25A25
Esco1	ESCO1
Galnt13	GALNT13
Fam129a	NIBAN1
Azin2	AZIN2
Wnt16	WNT16
Msi2	MSI2
Necab2	NECAB2
Cpa5	CPA5
Trpm3	TRPM3
Zdhhc14	ZDHHC14
Rab39b	RAB39B
Ephx4	EPHX4
Tmem120b	TMEM120B
Dis3l2	DIS3L2
Avl9	AVL9
Pnpla7	PNPLA7
Lrig3	LRIG3
Slc35f3	SLC35F3
Slc7a6	SLC7A6
Sept6	SEPTIN6
Snx32	SNX32
Slc8a3	SLC8A3
Slco4c1	SLCO4C1
Enpp6	ENPP6
Lhx8	LHX8
Unkl	UNKL
Tmppe	TMPPE
Slc39a13	SLC39A13
Chd3	CHD3
Tmprss11a	TMPRSS11A
Zfp280b	ZNF280B
Ttbk2	TTBK2
Efcab5	EFCAB5
Abracl	ABRACL
Tent4b	TENT4B
Wtip	WTIP
Zfp704	ZNF704
Zfand2a	ZFAND2A
Slc25a47	SLC25A47
Sptssb	SPTSSB
Mfsd14b	MFSD14B
Smim14	SMIM14
Vmn1r237	VN1R4
Sgsm1	SGSM1
Med16	MED16
Zfp551	ZNF551
Tm4sf19	TM4SF19
Cdk15	CDK15
Adamtsl1	ADAMTSL1
Cecr2	CECR2
Tanc2	TANC2
Skor2	SKOR2
Dhrs13	DHRS13
Tmem184a	TMEM184A
Zscan25	ZSCAN25
Diras1	DIRAS1
Mob3c	MOB3C
Zfp867	ZNF627
Slc44a3	SLC44A3
Slc5a8	SLC5A8
Rab7b	RAB7B
Glyat	GLYAT
Stard13	STARD13
Olfr448	OR2A5
Olfr1494	OR10Q1
Olfr692	OR52W1
Olfr323	OR11L1
Olfr460	OR9A4
Olfr24	OR1M1
Olfr350	OR1J4
Olfr1444	OR5B21
Olfr1104	OR8I2
Olfr631	OR51M1
Olfr666	OR52N2
Olfr577	OR51G2
Tarsl2	TARS3
Slc5a10	SLC5A10
Erich6	ERICH6
Egflam	EGFLAM
Got1l1	GOT1L1
Zfp664	ZNF664
Zfp583	ZNF583
Pm20d1	PM20D1
Ccnyl1	CCNYL1
Zfp300	ZNF567
Cdc20b	CDC20B
Scube3	SCUBE3
Col24a1	COL24A1
Ebf4	EBF4
Nkain2	NKAIN2
Nlrp5	NLRP5
Pank2	PANK2
Zbtb8b	ZBTB8B
Cpne7	CPNE7
Kremen2	KREMEN2
Galntl6	GALNTL6
Ralgps1	RALGPS1
Serhl	SERHL2
Cep68	CEP68
Adamts18	ADAMTS18
Lrtm2	LRTM2
Ncoa7	NCOA7
Serinc5	SERINC5
Ip6k3	IP6K3
Krt78	KRT78
Dnd1	DND1
Fam124b	FAM124B
Ccdc149	CCDC149
Clvs1	CLVS1
Rttn	RTTN
Eogt	EOGT
Zfp41	ZFP41
Arhgap44	ARHGAP44
Prss58	PRSS58
Taar9	TAAR9
Rspo4	RSPO4
Cbx7	CBX7
Tmtc1	TMTC1
Togaram2	TOGARAM2
Zfp629	ZNF629
Zfp12	ZNF12
Trarg1	TRARG1
Slc15a5	SLC15A5
Zfp385c	LOC100507656
Mettl24	METTL24
Pla2g4e	PLA2G4E
Dsg4	DSG4
Lrrtm2	LRRTM2
Bsx	BSX
Rgmb	RGMB
Tmprss11f	TMPRSS11F
Stk32a	STK32A
Nsun3	NSUN3
Ccdc85a	CCDC85A
Qsox2	QSOX2
Bcl9l	BCL9L
Ankdd1a	ANKDD1A
Kif9	KIF9
Ap1s3	AP1S3
Nanos3	NANOS3
Slc23a3	SLC23A3
Prr14l	PRR14L
Mafa	MAFA
Dcaf17	DCAF17
Csmd3	CSMD3
Sh2d6	SH2D6
Lrrc75b	LRRC75B
Lrrc75a	LRRC75A
Kctd1	KCTD1
Otud3	OTUD3
Rprml	RPRML
Myh7b	MYH7B
Ush2a	USH2A
Shisa6	SHISA6
Gm34066	C2orf66
Mast3	MAST3
Hecw2	HECW2
Tnrc6b	TNRC6B
Efr3b	EFR3B
Strip2	STRIP2
March4	MARCHF4
Mysm1	MYSM1
Arl9	ARL9
Olfr592	OR52J3
Awat1	AWAT1
Mylk4	MYLK4
Pitpnm3	PITPNM3
Klhl29	KLHL29
Aopep	AOPEP
Arrdc5	ARRDC5
Zyg11a	ZYG11A
Mkrn2os	MKRN2OS
Arhgef5	ARHGEF5
Fat1	FAT1
Tmem185a	TMEM185A
Skida1	SKIDA1
Pabpc4l	PABPC4L
Col28a1	COL28A1
Rnf217	RNF217
Lurap1	LURAP1
Fbxo43	FBXO43
Olfr685	OR52L1
Olfr65	OR51B6
Olfr3	OR1J1
Ano4	ANO4
Fam135b	FAM135B
Krt80	KRT80
Plxnb2	PLXNB2
Rbm44	RBM44
Klhdc9	KLHDC9
Ddhd2	DDHD2
Zcchc24	ZCCHC24
Trim72	TRIM72
Sp9	SP9
Pde4dip	PDE4DIP
Lipn	LIPN
Bpifb4	BPIFB4
Tmem250-ps	TMEM250
Tex36	TEX36
Fam149b	FAM149B1
Olfr220	OR6Y1
Ano9	ANO9
Nemp2	NEMP2
Mdc1	MDC1
Lnp1	LNP1
Ticrr	TICRR
Dnah1	DNAH1
Ccdc146	CCDC146
Erich6b	ERICH6B
Grrp1	FAM110D
Serinc4	SERINC4
Ahnak	AHNAK
Cby3	CBY3
Fabp12	FABP12
Nms	NMS
Epha10	EPHA10
